Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"But we have a Kingdom to look after. I've hoped to meet you for some time, Lord Stark. No doubt Lady Catelyn has mentioned me.",Politics
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,All too well. I still carry a token of his esteem from navel to collarbone.,War/Violence
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"It wasn't the man that I chose, my Lord. It was Catelyn Tully. A woman worth fighting for, I'm sure you'll agree.",People
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,We are the lords of small matters here.,Politics
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"Mmm, how much?",Plans/Strategy/Advice
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"I'll have to borrow it. The Lannisters will accommodate, I expect. We already owe Lord Tywin 3 million gold. What's another 80,000?",Plans/Strategy/Advice
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,I'm telling you the Crown is six million in debt.,Politics
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,The Master of Coin finds the money. The King and the Hand spend it.,Information/Lore
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"As you will. But still, we'd best make our plans.",Plans/Strategy/Advice
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Cat! Go on. Go upstairs.,Orders/Demands
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,I meant no disrespect to you of all people.,Loyalty/Honour
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,No one will come looking for you here. Isn't that what like you wanted? I'm truly sorry... about the locale.,Plans/Strategy/Advice
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,A dear friend told me.,Information/Lore
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"Well well, this is an historic day. Something you don't know that I do. There's only one dagger like this in all of the Seven Kingdoms. It's mine.",Information/Lore
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"At least it was, until the tournament on Prince Joffrey's last nameday. I bet on Ser Jaime in the jousting, as any sane man would. When the Knight of the Flowers unseated him, I lost this dagger.",Information/Lore
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Tyrion Lannister. The Imp.,People
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Good news? Perhaps you'd like to share it with your wife?,Plans/Strategy/Advice
