Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"Samwell Tarly, of Horn Hill. I mean, I was of Horn Hill. I've come to take the black.",Orders/Demands
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"I yield. Please, no more.",Orders/Demands
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Did he hurt you?,War/Violence
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,You can call me Sam... If you want. My mother calls me Sam.,People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I wanted to. I just couldn't.,Plans/Strategy/Advice
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I'm a coward. My father always says so.,Information/Lore
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,You're right. I'm sorry. I just... Wanted to thank you.,Loyalty/Honour
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"Hello. Ser Alliser said I'm to be your new watch partner. I should warn you, I don't see all that well.",People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"No, that's all right. I'm fine.",Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I don't like high places.,Information/Lore
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"On the morning of my 18th nameday, my father came to me. ""You're almost a man now,"" he said, ""but you're not worthy of my land and title. Tomorrow, you're going to take the black, forsake all claim to your inheritance and start north. If you do not,"" he said, ""then we'll have a hunt and somewhere in these woods your horse will stumble and you'll be thrown from your saddle to die. Or so I'll tell your mother. Nothing would please me more."" Ser Alliser's going to make me fight again tomorrow, isn't he?",War/Violence
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"I'm not going to get any better, you know?",Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I know for a fact that some of the officers go to that brothel in Mole's Town.,Information/Lore
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Don't you think it's a little bit unfair? Making us take our vows while they sneak off for a little sally on the side?,Information/Lore
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"It's silly, isn't it? What, we can't defend the Wall unless we're celibate? It's absurd.",War/Violence
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Why not? Because I'm fat? But I like girls just as much as you do. They might not like me as much. I've never... been with one. You've probably had hundreds.,People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I find that hard to believe.,Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,You didn't know where to put it?,Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Was she... Old and ugly?,People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,What color hair?,Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I like red hair. And her... Her...,Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,That good?,Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Oh no. So why exactly did you not make love to Ros with the perfect...,Information/Lore
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Jon Snow?,People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Because... You're a bastard from the north.,Information/Lore
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,So... You didn't know where to put it?,Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,It is a bit nippy.,Trivial
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,I miss girls.,Trivial
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,"One blast for a Ranger returning, two for Wildlings, three for...",Trivial
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,"my lord, might I go as well?",Politics
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,"No, my lord.",Politics
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,The Night's Watch is my house now.,Orders/Demands
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,"Jon, wait! Don't you see what they're doing?",People
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,I thought you were caught stealing a wheel of cheese for your starving sister?,People
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,"Could you sing me a song, Pyp? I'd like to hear a song.",Orders/Demands
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,Now listen to me. The old man is the Lord Commander of The Night's Watch.,Orders/Demands
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,I always wanted to be a Wizard.,Plans/Strategy/Advice
2011-06-05,Season 1,Episode 8,The Pointy End,sam tarly,The smell.,Trivial
2011-06-05,Season 1,Episode 8,The Pointy End,sam tarly,There is none.,Trivial
2011-06-12,Season 1,Episode 9,Baelor,sam tarly,l - l can't.,Loyalty/Honour
2011-06-12,Season 1,Episode 9,Baelor,sam tarly,l'm really not supposed to say.,Loyalty/Honour
2011-06-12,Season 1,Episode 9,Baelor,sam tarly,There was a raven. l read the message to Maester Aemon. lt's your brother Robb.,Information/Lore
