Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Mountain lion?,Information/Lore
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,It's a freak.,Information/Lore
2011-04-24,Season 1,Episode 2,The Kingsroad,theon greyjoy,"Saw what, my lady?",Information/Lore
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,The Master of Coin finds the money. The King and the Hand spend it.,Information/Lore
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,A dear friend told me.,Information/Lore
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"Well well, this is an historic day. Something you don't know that I do. There's only one dagger like this in all of the Seven Kingdoms. It's mine.",Information/Lore
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"At least it was, until the tournament on Prince Joffrey's last nameday. I bet on Ser Jaime in the jousting, as any sane man would. When the Knight of the Flowers unseated him, I lost this dagger.",Information/Lore
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Is she?,Information/Lore
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,And every inn in the city is full and the whores are walking bow-legged.,Information/Lore
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,I hear you're reading a boring book.,Information/Lore
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"No, it's quite all right. When I was a child I was very small and I come from a little spit of land called The Fingers, so you see, it's an exceedingly clever nickname.",Information/Lore
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I'm a coward. My father always says so.,Information/Lore
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I don't like high places.,Information/Lore
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I know for a fact that some of the officers go to that brothel in Mole's Town.,Information/Lore
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Don't you think it's a little bit unfair? Making us take our vows while they sneak off for a little sally on the side?,Information/Lore
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Oh no. So why exactly did you not make love to Ros with the perfect...,Information/Lore
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Because... You're a bastard from the north.,Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,You do move quietly.,Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Am I? All those birds that whisper in your ear, such pretty little things. Trust me, we accommodate all inclinations.",Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"I'm a purveyor of beauty and discretion, both equally important.",Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,Saw me with your own eyes?,Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,But you know something? I do believe that I have seen you even more recently than you have seen me.,Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"And not long after that when I saw you escorting a certain foreign dignitary... Council business? Of course you would have friends from across The Narrow Sea. You're from there yourself, after all. We're friends, aren't we, Lord Varys? I'd like to think we are. So you can imagine my burden, wondering if the King might question my friendo s sympathies… To stand at a crossroads where turning left means loyalty to a friend, turning right, loyalty to the realm.",Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,To a small council meeting?,Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"If you're still here come nightfall, I'll take you to see the last person Jon Arryn spoke with before falling ill. If that sort of thing still interests you.",Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,It won't take more than an hour. But as you please.,Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Well, he has more than you, for a start.",Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,He was the King's Hand. Perhaps Robert wanted them looked after. He was overcome with fatherly love.,Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"What's the meaning of this, Lannister?",Information/Lore
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,For many years. Most of my life really.,Information/Lore
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"Oh, everything, my dear. Everything there is.",Information/Lore
2011-05-29,Season 1,Episode 7,You Win or You Die,theon greyjoy,You're a very lucky girl. Do you know that?,Information/Lore
2011-05-29,Season 1,Episode 7,You Win or You Die,theon greyjoy,The Iron Islands.,Information/Lore
2011-05-29,Season 1,Episode 7,You Win or You Die,theon greyjoy,You've never heard of the Iron Islands?,Information/Lore
2011-05-29,Season 1,Episode 7,You Win or You Die,theon greyjoy,Lord.,Information/Lore
2011-05-29,Season 1,Episode 7,You Win or You Die,theon greyjoy,Impudent. It means rude. Disrespectful.,Information/Lore
2011-06-12,Season 1,Episode 9,Baelor,sam tarly,There was a raven. l read the message to Maester Aemon. lt's your brother Robb.,Information/Lore
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,"A useful talent, l'm sure you'd agree.",Information/Lore
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,Did we get him?,Information/Lore
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,"When boys and girls live in the same home, awkward situations can arise. Sometimes, I've heard, even brothers and sisters develop certain affections. And when these affections become common knowledge, well, that is an awkward situation, indeed. Especially in a prominent family. But prominent families often forget a simple truth, I've found.",Information/Lore
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,Knowledge is power.,Information/Lore
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,You offered me a ride!,Information/Lore
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,Are those girls?,Information/Lore
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,I haven't seen a girl in six months.,Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,That's why they're called wildlings.,Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"This is Gilly, she's one of Craster's daughters.",Information/Lore
