Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2011-04-24,Season 1,Episode 2,The Kingsroad,theon greyjoy,"If it comes to that, you know I'll stand behind you.",Loyalty/Honour
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,I meant no disrespect to you of all people.,Loyalty/Honour
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,The mere suggestion that the Queen's brother tried to kill your boy would be considered treason.,Loyalty/Honour
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"I'll try to keep you alive, for her sake. A fool's task, admittedly, but I've never been able to refuse your wife anything.",Loyalty/Honour
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Don't tell anyone. I have a reputation to maintain.,Loyalty/Honour
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,I promised Cat that I'd help you.,Loyalty/Honour
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,No. She's one of mine. Is there someone in your service whom you trust completely?,Loyalty/Honour
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,You're right. I'm sorry. I just... Wanted to thank you.,Loyalty/Honour
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,"Neither do I. But Robb's Lord of Winterfell, which means I do what he says and you do what I say. Hodor! Help Bran down the hall.",Loyalty/Honour
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,My lady's whereabouts...,Loyalty/Honour
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,No honor but quite a bit of gold.,Loyalty/Honour
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Jorah Mormont's a slaver, not a traitor. Small difference, I know, to an honorable man.",Loyalty/Honour
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"His Grace went on about you at some length after you took your leave. The word ""treason"" was mentioned.",Loyalty/Honour
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,"Famed for their skills at archery, navigation and lovemaking.",Loyalty/Honour
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,Why should I be jealous?,Loyalty/Honour
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,"I'm a Greyjoy. We've been Lords of the Iron Islands for 300 years. There's not a family in Westeros that can look down on us, not even the Lannisters.",Loyalty/Honour
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,My father fought for the freedom of his people! What did your father do? Fucked a cook and whelped a whore.,Loyalty/Honour
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,I'm not a boy.,Loyalty/Honour
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,Blood for blood. You need to make the Lannisters to pay for Jory and the others.,Loyalty/Honour
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,I'm talking about justice.,Loyalty/Honour
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,You're not a boy anymore. They attacked your father. They've already started the war. It's your duty to represent your House when your father can't.,Loyalty/Honour
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,I don't know. It's not my House.,Loyalty/Honour
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,"To what, to save your brother's life? It was the only thing to do, so I did it.",Loyalty/Honour
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,I'm going to miss you!,Loyalty/Honour
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,Only if we lose.,Loyalty/Honour
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,I did warn you not to trust me.,Loyalty/Honour
2011-05-29,Season 1,Episode 7,You Win or You Die,theon greyjoy,"Why? What do you mean why? My father is Balon Greyjoy, Lord of the Iron Islands.",Loyalty/Honour
2011-05-29,Season 1,Episode 7,You Win or You Die,theon greyjoy,I will be lord after my father.,Loyalty/Honour
2011-05-29,Season 1,Episode 7,You Win or You Die,theon greyjoy,"No, you...You having a go at me? Is that it?",Loyalty/Honour
2011-05-29,Season 1,Episode 7,You Win or You Die,theon greyjoy,I'm not a Southerner.,Loyalty/Honour
2011-06-05,Season 1,Episode 8,The Pointy End,petyr baelish,Do you deny your father's crime?,Loyalty/Honour
2011-06-12,Season 1,Episode 9,Baelor,sam tarly,l - l can't.,Loyalty/Honour
2011-06-12,Season 1,Episode 9,Baelor,sam tarly,l'm really not supposed to say.,Loyalty/Honour
