Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Right. Give it here.,Orders/Demands
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"I take orders from your father, not you.",Orders/Demands
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"The runt of the litter. That one's yours, Snow.",Orders/Demands
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Cat! Go on. Go upstairs.,Orders/Demands
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"The wiser answer was no, my Lord. Get a message to this paragon of yours... Discreetly. Send him to question Ser Hugh. After that, you might want him to visit a certain armorer in the city. He lives in a large house at the top of the street of Steel.",Orders/Demands
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"Samwell Tarly, of Horn Hill. I mean, I was of Horn Hill. I've come to take the black.",Orders/Demands
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"I yield. Please, no more.",Orders/Demands
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,"Really? If I was cooped up all day with no one but this old bat for company, I'd go mad. Anyway, you don't have a choice. Robb's waiting.",Orders/Demands
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,"Careful, Imp.",Orders/Demands
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,100 gold dragons on the Mountain.,Orders/Demands
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,Shh... Keep it down. You're not supposed to be inside the castle walls.,Orders/Demands
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,Stop! Stop! What are you doing?!,Orders/Demands
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,Don't be a fool.,Orders/Demands
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,Let me see it one more time?,Orders/Demands
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"No no no no! Is that what they teach you up in the North? And you-- wherever you're from, do you have any idea how ridiculous you sound? Either of you understand a thing that I'm saying?",Orders/Demands
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"Let's start over, shall we? You be the man and you be the woman.",Orders/Demands
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,Now!,Orders/Demands
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,The Night's Watch is my house now.,Orders/Demands
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,"Could you sing me a song, Pyp? I'd like to hear a song.",Orders/Demands
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,Now listen to me. The old man is the Lord Commander of The Night's Watch.,Orders/Demands
2011-05-29,Season 1,Episode 7,You Win or You Die,theon greyjoy,"Trust me, My Lord. You're not living in the wilderness anymore.",Orders/Demands
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,You can't!,Orders/Demands
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,You can't leave us now. We need you here.,Orders/Demands
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,l won't let you go.,Orders/Demands
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,No.,Orders/Demands
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"No. Ghost, no. No. Ghost, away. Shoo. Shoo! . You all right? Did he frighten you?",Orders/Demands
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"She's pregnant. . We have to take her with us, when we leave.",Orders/Demands
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,Your place is on this ship.,Orders/Demands
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,Have my things sent up to the castle.,Orders/Demands
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,"You should give me the reins, I'm a better rider than you. I've been on horseback for the last nine years.",Orders/Demands
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,I told you to wait outside. . How did you get past the guards?,Orders/Demands
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,Leave me out of your next deception.,Orders/Demands
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,Keep it safe for me. Til I come back.,Orders/Demands
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,All of these tents look the same to me. Would you be so kind-,Orders/Demands
