Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Think of all those southern girls he gets to stab with his right royal prick.,People
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"It wasn't the man that I chose, my Lord. It was Catelyn Tully. A woman worth fighting for, I'm sure you'll agree.",People
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Tyrion Lannister. The Imp.,People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"I have my observers, as I said, and it's possible that they saw Lord Arryn visit this armorer several times in the weeks before his death.",People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,An old friend of the family. I've known your mother a long long time.,People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,Ser Gregor Clegane. They call him the Mountain. The Houndo s older brother.,People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,Ser Hugh of the Vale. He was Jon Arryn's squire. Look how far he's come.,People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,You can call me Sam... If you want. My mother calls me Sam.,People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"Hello. Ser Alliser said I'm to be your new watch partner. I should warn you, I don't see all that well.",People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Why not? Because I'm fat? But I like girls just as much as you do. They might not like me as much. I've never... been with one. You've probably had hundreds.,People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Was she... Old and ugly?,People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Jon Snow?,People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,We have visitors.,People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,"Couldn't resist some northern ass? If you like redheads, ask for Ros.",People
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,She wasn't feeling well.,People
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,Since you last saw me or since I last saw you?,People
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Yes. Earlier today, I distinctly recall seeing you talking to Lord Stark in his chambers.",People
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,Who? the Imp? I'd call him half a nobleman.,People
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,Anyone with a few coppers in his pocket can own you for the night. What's a dwarf like down below? I've always wondered.,People
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,Generous tipper. I guess gold is cheap for a Lannister.,People
2011-05-22,Season 1,Episode 6,A Golden Crown,petyr baelish,That sounds like someone we know. The Mountain.,People
2011-05-22,Season 1,Episode 6,A Golden Crown,petyr baelish,I've heard him called “Tywin Lannister's mad dog.” I'm sure you have as well. Can you think of any reason the Lannisters might possibly have for being angry with your wife?,People
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,There's a thousand girls like you in King's Landing.,People
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,I'm saving myself for another.,People
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"No, not really. Impeccable bloodlines though.",People
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,"Jon, wait! Don't you see what they're doing?",People
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,I thought you were caught stealing a wheel of cheese for your starving sister?,People
2011-05-29,Season 1,Episode 7,You Win or You Die,theon greyjoy,"You're an impudent little wench, aren't you?",People
2011-06-05,Season 1,Episode 8,The Pointy End,petyr baelish,"The girl is innocent, Your Grace.",People
2011-06-05,Season 1,Episode 8,The Pointy End,theon greyjoy,Robb's right.,People
2011-06-12,Season 1,Episode 9,Baelor,theon greyjoy,Or so Walder Frey would have you think.,People
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,Please accept my sincerest apologies. Ramka will take good care of you.,People
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,Who?,People
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"Seems a bit greedy for one man to have so many wives. Wouldn't two, or three, be enough for him?",People
