Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"Mmm, how much?",Plans/Strategy/Advice
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"I'll have to borrow it. The Lannisters will accommodate, I expect. We already owe Lord Tywin 3 million gold. What's another 80,000?",Plans/Strategy/Advice
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"As you will. But still, we'd best make our plans.",Plans/Strategy/Advice
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,No one will come looking for you here. Isn't that what like you wanted? I'm truly sorry... about the locale.,Plans/Strategy/Advice
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Good news? Perhaps you'd like to share it with your wife?,Plans/Strategy/Advice
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,I thought that she'd be safest in here. One of several such establishments I own.,Plans/Strategy/Advice
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,I will?,Plans/Strategy/Advice
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,A singularly bad idea. Do you see that boy there? One of Varys's little birds. The Spider has taken a great interest in your comings and goings. Now look there. That one belongs to the Queen. And do you see that Septa pretending to read her book?,Plans/Strategy/Advice
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,Distrusting me was the wisest thing you've done since you climbed off your horse.,Plans/Strategy/Advice
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I wanted to. I just couldn't.,Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,Now what will I buy with 100 gold dragons? A dozen barrels of Dornish wine? Or a girl from the pleasure houses of Lys?,Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Loras knew his mare was in heat. Quite crafty, really.",Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,You look a bit lonely today. You should pay a visit to my brothel this evening. First boy is on the house.,Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,All desires are valid to a man with a full purse.,Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"When you find yourself in bed with an ugly woman, best close your eyes, get it over with. Cut her throat. Be done with it.",Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,When do you return to Winterfell?,Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Brothels make a much better investment than ship, I've found. Whores rarely sink.",Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Does it matter? If you fuck enough women, some of them will give you presents.",Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,My Lords! I'll bring the City Watch!,Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,I don't want to pay for it.,Plans/Strategy/Advice
2011-05-22,Season 1,Episode 6,A Golden Crown,petyr baelish,"A bold move, my Lord, and admirable. But is it wise to yank the lion's tail? Tywin Lannister is the richest man in all the Seven Kingdoms. Gold wins wars, not soldiers.",Plans/Strategy/Advice
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,When are you gonna tell him?,Plans/Strategy/Advice
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,In a turnip cart?,Plans/Strategy/Advice
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,"Yes, you'll be very popular until some fat lord comes to visit with a big belly and a little prick and he can't get it up so he knocks all your teeth out.",Plans/Strategy/Advice
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"You'll need someone to share these burdens. I assure you, my price would be modest.",Plans/Strategy/Advice
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"So why did you call me here? Not for my wisdom, clearly.",Plans/Strategy/Advice
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,Look at you. You know what you want me to do.,Plans/Strategy/Advice
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,I always wanted to be a Wizard.,Plans/Strategy/Advice
2011-06-05,Season 1,Episode 8,The Pointy End,theon greyjoy,Lord Frey controls that bridge.,Plans/Strategy/Advice
2011-06-12,Season 1,Episode 9,Baelor,theon greyjoy,Just march up to his gates and tell him you're crossing. We've got five times his numbers. You can take the Twins if you have to.,Plans/Strategy/Advice
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,lt's hard for them to simper and bow without heads.,Plans/Strategy/Advice
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,They'll put out the word. They'll send out ravens. People will come after you. Do you know what happens to deserters?,Plans/Strategy/Advice
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,What are you going to do?,Plans/Strategy/Advice
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,"We have enough wheat for a five-year winter. If it lasts any longer, , we'll have fewer peasants.",Plans/Strategy/Advice
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,"If she's escaped the capital, Winterfell seems the logical destination.",Plans/Strategy/Advice
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,"Well, you could ask Varys where she is. He'll have an answer for you. Whether you believe it,,, Myself, I have always had a hard time trusting eunuchs. Who knows what they want?",Plans/Strategy/Advice
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,I'm glad you like it. Some people are fortunate enough to be born into the right family. Others have to find their own way.,Plans/Strategy/Advice
2012-04-01,Season 2,Episode 1,The North Remembers,theon greyjoy,"The Lannisters are going to reject your terms, you know?",Plans/Strategy/Advice
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,"Ah, yes, that was poorly handled. Sometimes those with the most power have the least grace.",Plans/Strategy/Advice
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,"You know, you remind me of another girl. A lovely thing I once acquired from an Elysium pleasure house. Beautiful, like yourself, and intelligent as yourself. But she wasn't happy. She cried, often. I asked her why but, we didn't have the kind of rapport that you and I have. Yes, it was quite sad. Girls from Elysium pleasure houses are expensive. Extremely expensive. And this one wasn't making me any money. I hate bad investments. Really, I do. They haunt me. I had no idea how to make her happy, no idea how to mitigate my losses. A very wealthy patron, he offered me a tremendous amount of money to let him transform this lovely, sad girl. To use her in ways that never occur to most men. And you know what occurs to most men. I would not say he succeeded in making her happy but my losses were definitely mitigated. . Take tonight off to mourn Mhaegen's child. I'll see you tomorrow. But you'll be happy? . That makes me happy.",Plans/Strategy/Advice
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"I can't steal her, she's a person not a goat.",Plans/Strategy/Advice
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,I could try. . What? I've read about it. A bit.,Plans/Strategy/Advice
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,"We won't beat them until we take King's Landing, and we can't take King's Landing without ships. My father has ships, and men who know how to sail them.",Plans/Strategy/Advice
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,I'm his only living son. He'll listen to me.,Plans/Strategy/Advice
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,"I have a proposal for my father. One that will make him king again. And me after him. You may stay at the castle tonight, if you're lucky.",Plans/Strategy/Advice
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,"An order, from your future king. You can tell your grandchildren about this night.",Plans/Strategy/Advice
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,"The offer he makes, is one I proposed.",Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,Tell no one what?,Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,She imprisoned you. She tried to execute you. And you offer her son a princess?,Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,And I suppose you want me to broker this agreement?,Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,"And Harrenhal, I suppose that's off the table as well.",Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,Robb Stark will never release the Kingslayer.,Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,"I, I wanted to give you something. It belonged to my mother.",Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,I'm not giving it away. I'm giving it to you.,Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,A ship? You give her thirty and I get one?,Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,I'm to fight fishermen?,Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,"Father, I fought with Robb Stark. I know his men. He won't give up the North so easily.",Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,"I'm not protecting anyone. I just wonder if it's not wiser to wait. Why risk going against the North if they would be our allies? Rise up against them and they could destroy us. But if we pledge fealty to them, they'll give us Casterly Rock.",Plans/Strategy/Advice
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"You still have many friends at court, Your Grace, many who believe Ned Stark erred by not supporting your claim.",Plans/Strategy/Advice
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"I understand that you don't like me, and while that saddens me greatly, I did not come here today seeking your affection. When you march on King's Landing, you may find yourself facing a protracted siege or open gates.",Plans/Strategy/Advice
