Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"The Starks... Quick tempers, slow minds.",Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,Lover's quarrel?,Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"No, that's all right. I'm fine.",Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"I'm not going to get any better, you know?",Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I find that hard to believe.,Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,You didn't know where to put it?,Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,What color hair?,Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I like red hair. And her... Her...,Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,That good?,Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,So... You didn't know where to put it?,Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,It is a bit nippy.,Trivial
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,Must have been a pretty sight.,Trivial
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"And tell me, Lord Renly, when will you be having your friend?",Trivial
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Tell me. Does someone, somewhere, keep your balls in a little box? I've often wondered.",Trivial
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,To find myself in a position where a simple word to the King --,Trivial
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,Hmm?,Trivial
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,And you can afford that?,Trivial
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,A stupid saying.,Trivial
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,So it would seem. Unless...,Trivial
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,I miss girls.,Trivial
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,"One blast for a Ranger returning, two for Wildlings, three for...",Trivial
2011-06-05,Season 1,Episode 8,The Pointy End,petyr baelish,"A naked Knight, apparently.",Trivial
2011-06-05,Season 1,Episode 8,The Pointy End,sam tarly,The smell.,Trivial
2011-06-05,Season 1,Episode 8,The Pointy End,sam tarly,There is none.,Trivial
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,You must be one of the few men in the city who isn't a man.,Trivial
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,"When they castrated you, did they take the pillar with the stones? l've always wondered.",Trivial
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,l picture a gash. Like a woman's. ls that about right?,Trivial
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,"Must be strange for you, even after all these years… a man from another land, despised by most, feared by all.",Trivial
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,Playing our roles.,Trivial
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,Curious.,Trivial
