Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,All too well. I still carry a token of his esteem from navel to collarbone.,War/Violence
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"Which Lord Tyrion will say was stolen from him. The only man who could say otherwise has no throat, thanks to your boy's wolf.",War/Violence
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"Not what you were expecting? Has anyone ever told you the story of the Mountain and the Hound? Lovely little tale of brotherly love. The Hound was just a pup, six years old maybe. Gregor a few years older, already a big lad, already getting a bit of a reputation. Some lucky boys just born with a talent for violence. One evening... Gregor found his little brother playing with a toy by the fire... Gregor's toy, a wooden knight. Gregor never said a word, he just grabbed his brother by the scruff of his neck and shoved his face into the burning coals. Held him there while the boy screamed, while his face melted. There aren't very many people who know that story.",War/Violence
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"No, please don't. If the Hound so much as heard you mention it, I'm afraid all the knights in King's Landing would not be able to save you.",War/Violence
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Did he hurt you?,War/Violence
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"On the morning of my 18th nameday, my father came to me. ""You're almost a man now,"" he said, ""but you're not worthy of my land and title. Tomorrow, you're going to take the black, forsake all claim to your inheritance and start north. If you do not,"" he said, ""then we'll have a hunt and somewhere in these woods your horse will stumble and you'll be thrown from your saddle to die. Or so I'll tell your mother. Nothing would please me more."" Ser Alliser's going to make me fight again tomorrow, isn't he?",War/Violence
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"It's silly, isn't it? What, we can't defend the Wall unless we're celibate? It's absurd.",War/Violence
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,We were outnumbered 10 to one.,War/Violence
2011-05-22,Season 1,Episode 6,A Golden Crown,petyr baelish,It would be almost as brazen as attacking the Hand of the King in the streets of the capital.,War/Violence
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,A Lannister put his spear through your father's leg. The Kingslayer rides to Casterly Rock where no one can touch -,War/Violence
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,"Tough little lad. In the Iron Islands, you're not a man until you've killed your first enemy. Well done.",War/Violence
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,He would have killed you and cut Bran's throat.,War/Violence
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,Oh no. He got himself killed before the wedding.,War/Violence
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,So it will be Stannis and war?,War/Violence
2011-05-29,Season 1,Episode 7,You Win or You Die,theon greyjoy,I thought she was our prisoner.,War/Violence
2011-06-12,Season 1,Episode 9,Baelor,sam tarly,"He's heading south. To war. All his bannermen have rallied to his side, they'll keep him safe.",War/Violence
2011-06-12,Season 1,Episode 9,Baelor,theon greyjoy,Or throw you in a dungeon. Or slit your throat.,War/Violence
2011-06-12,Season 1,Episode 9,Baelor,theon greyjoy,"Kill him, Robb. Send his head to his father. He cut down ten of our men. You saw him.",War/Violence
2011-06-12,Season 1,Episode 9,Baelor,theon greyjoy,The bards will sing songs of their sacrifice.,War/Violence
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,Nothing's killed me yet.,War/Violence
2012-04-01,Season 2,Episode 1,The North Remembers,theon greyjoy,"We can fight them in the fields as long as you like, but we won't beat them until you take King's Landing. And we can't take King's Landing without ships. My father has ships and men who know how to sail them.",War/Violence
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,Shhh. Did he hurt you?,War/Violence
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,I will lead the attack myself.,War/Violence
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,She can't lead an attack!,War/Violence
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,You won't stand a chance against the Lannisters on your own.,War/Violence
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,theon greyjoy,"The Stony Shore, to raid their villages. There'll be spoils in it for you, and women, if you do your jobs well.",War/Violence
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,theon greyjoy,Why aren't you with the rest of them? Or did they send you to row me out and dump me halfway in the sea? That would be good for a laugh.,War/Violence
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,theon greyjoy,And how am I supposed to prove myself by pillaging piss-poor fishing villages?,War/Violence
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,theon greyjoy,"No, we could. We could never hold it for more than a few days. As soon as Winterfell got word that we'd taken Torrhen's Square, the Starks would send their men to take it back. And then-",War/Violence
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,I've taken your castle.,War/Violence
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,It's Prince Theon now. Get up. You have to get dressed. I've taken Winterfell. I took it. I'm occupying it. I sent men over the walls with grappling claws and ropes.,War/Violence
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,To take the castle.,War/Violence
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,So you and I can go down and tell them - how you've yielded Winterfell to me.,War/Violence
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"The castle is mine. But these people are still yours. You'll yield to keep them safe, to keep them alive. That's what a good lord would do. Think carefully about what you want to say.",War/Violence
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"My brothers are dead. They died fighting Stark men, men like you.",War/Violence
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,He's not. He's dead. The Seven Kingdoms are at war. And Winterfell is mine.,War/Violence
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"Ser Rodrik, I sentence you to death!",War/Violence
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,I'm not killing you. That's your price.,War/Violence
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,Enjoying your first hunt?,War/Violence
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,"With hunting, there's blood at the end.",War/Violence
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,"I was a little boy when I was torn away from my home and brought here. So I kept my word. I never ran away. If I find them soon enough, I won't hurt them. Well, I'll hurt them, but I won't kill them.",War/Violence
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,"The hounds have the scent. Come, Maester, don't look so grim. It's all just a game.",War/Violence
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,"I'm looking at spending the rest of my life being treated like a fool and a eunuch by my own people. Ask yourself, is there anything I wouldn't do to stop that from happening? The hounds will find the scent again. I'll beat them until they do. I'll whip every man here until I have both those boys in hand. And once I've got them, the pampered little shits It's better to be cruel than weak.",War/Violence
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,sam tarly,"He's not dead. No, Jon's a great fighter.",War/Violence
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,sam tarly,He's got a Valyrian steel sword.,War/Violence
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,You should be proud of your brother's achievement. I took the great castle of Winterfell with twenty men.,War/Violence
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,Before I had to kill them- I treated them-,War/Violence
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,You haven't brought enough men. How am I supposed to defend Winterfell with just this lot?,War/Violence
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,He won't find out. We've killed all the ravens. We have all the horses. I've taken Winterfell. And I will keep Winterfell.,War/Violence
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,"I will kill that man. I don't care how many arrows they feather me with, how many spears they run through me, I will kill that horn-blowing cunt before I fall.",War/Violence
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,I know I'm surrounded. I know that because I stood on the battlements and saw I was surrounded.,War/Violence
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,"Thank you, wise bald man. Thank you for explaining siege tactics to me.",War/Violence
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,"First time I saw Winterfell, it looked like something that had been here for thousands of years and would be here for thousands of years after I was dead. I saw it and I thought, ""Of course, Ned Stark crushed our rebellion and killed my brothers. ""We never stood a chance against the man who lives here.""",War/Violence
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,"I will kill that man. I swear to the Drowned God, the Old Gods, the New Gods, to every fucking god in every fucking heaven, I will kill that man.",War/Violence
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,The opportunity for Jon Snow to cut my throat in my sleep.,War/Violence
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,"You hear that? That's the mating call of the Northmen. They want to fuck us. Well, I haven't had a good fuck in weeks. I'm ready for one.",War/Violence
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,They say every Ironborn man is worth a dozen from the mainland.,War/Violence
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,"We die today, brothers. We die bleeding from a hundred wounds with arrows in our necks and spears in our guts, but our war cries will echo through eternity. They will sing about the battle of Winterfell until the Iron Islands have slipped beneath the waves. Every man, woman and child will know who we were and how long we stood. Aggar and Gelmarr, Wex and Urzen, Stygg and Black Lorren. Ironborn warriors will cry out our names as they leap onto the shores of Seagard and Faircastle.",War/Violence
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,And whoever kills that fucking horn-blower will stand in bronze above the shores of Pyke!,War/Violence
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",theon greyjoy,"Wait. Wait, wait, wait. I took it because I hated the Starks. I hated them for holding me prisoner. I wanted to hurt them.",War/Violence
2013-05-05,Season 3,Episode 6,The Climb,petyr baelish,There aren't. There aren't even two hundred. I've counted.,War/Violence
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,Don't kill me!,War/Violence
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,Killing White Walkers.,War/Violence
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,"And the archer. I got lucky with one of them. There are more. Many more. And for every one of them, the dead men, more than you could count. I wish you'd come with us.",War/Violence
2014-04-06,Season 4,Episode 1,Two Swords,sam tarly,Sometimes I want to hate you.,War/Violence
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,Killing the white Walker.,War/Violence
2014-04-27,Season 4,Episode 4,Oathkeeper,sam tarly,"She's not safe out there. I should have known. You told us there were wildlings south of the Wall. If they're raiding the smaller villages, Mole's Town could be next.",War/Violence
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,sam tarly,Of course I couldo ve known. They were raiding the villages close by.,War/Violence
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,sam tarly,She's dead because of me.,War/Violence
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,sam tarly,Little Same. As if I'd cut their throats myself.,War/Violence
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,Yes. Have your men raise the white flag and open the gates. You're going home.,War/Violence
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,There'll be arrows for all of us soon I imagine.,War/Violence
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,There's a lot more Wildlings on the other side of the wall than this side. We've got us some weapons and things. This is the perfect place for us to be.,War/Violence
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"Of course I'm afraid, there's a band of Wildlings coming to kill us.",War/Violence
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"I didn't know I was going to kill it, but I had to do something I didn't have any choice, he was going to kill Gilly and take the baby. If someone had asked me my name right then, I wouldn't have known. I wasn't Samwell Tarly anymore. I wasn't a Steward in the Night's Watch or son of Randyll Tarly or any of that. I was nothing at all. And when you're nothing at all, there's no more reason to be afraid.",War/Violence
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,The Wildlings are over the walls. Ser Alliser has fallen. The castle walls can't stand much longer.,War/Violence
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,You can't protect me forever. There won't be anywhere to hide if the castle falls.,War/Violence
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,This is a great victory.,War/Violence
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Without Mance? You're going to kill him?,War/Violence
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"They'll never let you within a hundred yards of him. And if you did, even if you managed to kill him.",War/Violence
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,He won't just kill ya. They'll boil you. They'll filet you. They'll make it last days!,War/Violence
2015-04-12,Season 5,Episode 1,The Wars to Come,sam tarly,"Well, I'm hardly a new recruit. How many brothers can say they've killed a white walker and a Thenn? I might be the first in history!",War/Violence
2015-04-19,Season 5,Episode 2,The House of Black and White,petyr baelish,"Ah, yes. You were accused of killing him.",War/Violence
2015-04-24,Season 6,Episode 1,The Red Woman,theon greyjoy,I've seen what his hounds do to a person This way is better,War/Violence
2015-04-26,Season 5,Episode 3,High Sparrow,petyr baelish,Every ambitious move is a gamble. You gambled when you drove a dagger into Robb Stark's heart. It appears that your gamble paid off. You're Warden of the North.,War/Violence
2015-05-03,Season 5,Episode 4,Sons of the Harpy,petyr baelish,"I saw her once. I was a boy, living with your mother's family. Lord Whent had a great tourney at Harrenhal. Everyone was there. The Mad King, your father, Robert Baratheon. And Lyanna, she was already promised to Robert. You can imagine what it was like for me, a boy from nowhere, with nothing to his name, watching these legendary men, tilting at the lists. The last two riders were Barristan Selmy and Rhaegar Targaryen. When Rhaegar won, everyone cheered for the prince. I remember the girls laughing when he took off his helmet and they saw that silver hair. How handsome he was. Until he rode right past his wife, Elia Martell, and all the smiles died. I've never seen so many people so quiet. He rode past his wife, and he lay a crown of winter roses in Lyanna's lap. Blue as frost. How many tens of thousands had to die because Rhaegar chose your aunt?",War/Violence
2015-05-03,Season 5,Episode 4,Sons of the Harpy,petyr baelish,"I do. Once he liberates these lands from the Boltons he'll rally your father's bannermen to his cause. With the North behind him, Stannis can finally take the Iron Throne.",War/Violence
2015-05-03,Season 5,Episode 4,Sons of the Harpy,petyr baelish,"He has a larger army. He's the finest military commander in Westeros. A betting man would put his money on Stannis. . As it happens, I am a betting man.",War/Violence
2015-05-10,Season 5,Episode 5,Kill the Boy,sam tarly,The army of the dead. And when they come -,War/Violence
2015-05-10,Season 5,Episode 5,Kill the Boy,theon greyjoy,For killing your brothers.,War/Violence
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,Of course. And the Faith were armed on your orders.,War/Violence
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,Indeed. As reward for stabbing his own king in the heart.,War/Violence
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,"Stannis Baratheon is also a traitor, marching with his army on Winterfell. Let Stannis and Roose battle, let the enemies of the throne slaughter each other and when they're done seize Winterfell from whichever thief survives.",War/Violence
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,It's Dragonglass. It's what I used to kill the White Walker. I hope you don't need them.,War/Violence
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,I killed a White Walker. I killed a Thenn. I'll take my chances with you.,War/Violence
2015-05-31,Season 5,Episode 8,Hardhome,sam tarly,We've been fighting them for years.,War/Violence
2015-05-31,Season 5,Episode 8,Hardhome,theon greyjoy,They weren't Bran and Rickon! I couldn't find them. It was two farm boys. I killed them and burned them so no one would know.,War/Violence
2015-06-14,Season 5,Episode 10,Mother’s Mercy,sam tarly,But… you killed a White Walker.,War/Violence
2016-05-01,Season 6,Episode 2,Home,theon greyjoy,Jon will have me killed the moment I step through the gate,War/Violence
2016-05-08,Season 6,Episode 3,Oathbreaker,sam tarly,I'd feel better if you threw something at me and stormed off,War/Violence
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,"I didn't think I'd ever come back here after my father made me renounce my title and inheritance and, well, threaten to kill me if I didn't. A person just doesn't feel welcome at that point.",War/Violence
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,"This venison, it's very tasty. Is it from today's hunt?",War/Violence
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,"Oh, that's a fair distance.",War/Violence
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,"Oh, yes. Yes. A good amount. North of the Wall, you don't hunt, you don't eat.",War/Violence
2016-06-05,Season 6,Episode 7,The Broken Man,theon greyjoy,You think Uncle Euron's hunting for us?,War/Violence
2016-06-19,Season 6,Episode 9,Battle of the Bastards,theon greyjoy,I didn't murder the Stark boys. But I did things that were just as bad or worse.,War/Violence
2016-06-19,Season 6,Episode 9,Battle of the Bastards,theon greyjoy,Our Uncle Euron returned home after a long absence. He murdered our father and took the Salt Throne from yara. He would have murdered us if we had stayed.,War/Violence
2016-06-19,Season 6,Episode 9,Battle of the Bastards,theon greyjoy,He murdered our father and would have murdered us. He'll murder you as soon as you have what he wants.,War/Violence
2016-06-26,Season 6,Episode 10,The Winds of Winter,sam tarly,He died.,War/Violence
2017-08-06,Season 7,Episode 4,The Spoils Of War,petyr baelish,"The last man who wielded it meant to cut your throat, but your mother fought him off.",War/Violence
2017-08-06,Season 7,Episode 4,The Spoils Of War,petyr baelish,"No. That very question was what started the War of the Five Kings. In a way, that dagger made you what you are today. Forced from your home, driven out to the wilds beyond the Wall. I imagine you've seen things most men wouldn't believe.",War/Violence
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,"You are family, too. Would Arya really murder her own sister?",War/Violence
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,"Only by reputation. They worship the God of Death, I believe. I never trust godly men.",War/Violence
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,"And after she murders you, what does she become?",War/Violence
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,Daenerys. She executed my father and brother. They were her prisoners.,War/Violence
2019-04-21,Season 8,Episode 2,A Knight of the Seven Kingdoms,sam tarly,Everyone seems to forget that I was the first man to kill a White Walker. I've killed Thenns.,War/Violence
2019-04-21,Season 8,Episode 2,A Knight of the Seven Kingdoms,theon greyjoy,"I want to fight for Winterfell, Lady Sansa, if you'll have me.",War/Violence
2019-04-28,Season 8,Episode 3,The Long Night,theon greyjoy,They lit the trench. Bran I just want you to know... I wish... The things I did,War/Violence
