Release Date,Season,Episode,Episode Title,Name,Sentence
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,I'll not rest until the lion flies over Winterfell.
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,And who would you have me be loyal to? Your brother's corpse?
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,"Lady Sansa, I have known you since you were a girl. I've protected you."
2015-04-26,Season 5,Episode 3,High Sparrow,petyr baelish,Sansa -
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,Marrying his son to the last of the Starks gives him more legitimacy in the North than an alliance with a hated southern house.
2014-05-04,Season 4,Episode 5,First of His Name,petyr baelish,Like it was yesterday.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,To a small council meeting?
2014-05-18,Season 4,Episode 7,Mockingbird,petyr baelish,"A lot can happen between now and never. If you want to build a better home, first you must demolish the old one."
2011-06-05,Season 1,Episode 8,The Pointy End,petyr baelish,"The girl is innocent, Your Grace."
2017-08-06,Season 7,Episode 4,The Spoils Of War,petyr baelish,"I'm sorry to have disturbed you, Lord Stark."
2014-05-04,Season 4,Episode 5,First of His Name,petyr baelish,Pull up your hood. A memorable shade.
2016-05-15,Season 6,Episode 4,Book of the Stranger,petyr baelish,"Lord Royce has served the Vale well He;s enjoyed a distinguished military career If we could trust his absolute loyalty, he would make a capable commander in the wars to come"
2015-04-26,Season 5,Episode 3,High Sparrow,petyr baelish,No.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"And tell me, Lord Renly, when will you be having your friend?"
2012-06-03,Season 2,Episode 10,Valar Morghulis,petyr baelish,"He'll let you go home? Joffrey's not the sort of boy who gives away his toys. You have a tender heart, just like your mother did at your age. I can see so much of her in you. She was like a sister to me. For her sake, I'll help get you home."
2014-04-27,Season 4,Episode 4,Oathkeeper,petyr baelish,"A man with no motive is a man no one suspects. Always keep your foes confused. If they don't know who you are or what you want, they can't know what you plan to do next."
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,But you carry on whispering in one king's ear and then the next. l admire you.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,Ser Hugh of the Vale. He was Jon Arryn's squire. Look how far he's come.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"I'll have to borrow it. The Lannisters will accommodate, I expect. We already owe Lord Tywin 3 million gold. What's another 80,000?"
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,"It doesn't matter what we want, once we get it, then we want something else. Your hair is different."
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,So it would seem. Unless...
2016-05-22,Season 6,Episode 5,The Door,petyr baelish,I can't begin to contemplate --
2015-04-19,Season 5,Episode 2,The House of Black and White,petyr baelish,Strange. I knew Cat from the time we were children. She never mentioned you.
2014-04-27,Season 4,Episode 4,Oathkeeper,petyr baelish,And who helped me with this conspiracy?
2015-05-24,Season 5,Episode 7,The Gift,petyr baelish,The past is the past. The future is all that's worth discussing. The future of House Tyrell.
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,Oh no. He got himself killed before the wedding.
