Release Date,Season,Episode,Episode Title,Name,Sentence
2016-05-01,Season 6,Episode 2,Home,theon greyjoy,We shouldn't be lighting fires It's not safe He won't stop hunting us
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,I've taken your castle.
2019-04-21,Season 8,Episode 2,A Knight of the Seven Kingdoms,theon greyjoy,"She only has a few ships, and she couldn't sail them here. So, she's sailing to the Iron Islands instead, to take them back in your name."
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,"My own father, your king, surrendered years ago to Robert Baratheon. I watched him bend the knee. There was no shame there. He fought with honor, as did you."
2015-04-24,Season 6,Episode 1,The Red Woman,theon greyjoy,We have to cross here
2013-05-05,Season 3,Episode 6,The Climb,theon greyjoy,Wa-
2011-06-05,Season 1,Episode 8,The Pointy End,theon greyjoy,Robb's right.
2013-05-05,Season 3,Episode 6,The Climb,theon greyjoy,Torrhen Karstark.
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,"If my clothes offend you, I will change them."
2017-08-06,Season 7,Episode 4,The Spoils Of War,theon greyjoy,Where did she go?
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",theon greyjoy,Please.
2016-05-15,Season 6,Episode 4,Book of the Stranger,theon greyjoy,I shouldo ve listened to you. You're the only one --
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,I'm Reek.
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,And you can afford that?
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,Right. Get the horses and the hounds.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",theon greyjoy,I took it to bring glory to my house and my father.
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,Yara?
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,He would have killed you and cut Bran's throat.
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"It's for the queen, I bet. I hear she's [sleek as a mink?]"
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,"I will kill that man. I don't care how many arrows they feather me with, how many spears they run through me, I will kill that horn-blowing cunt before I fall."
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,You don't know what you're like. You need someone to teach you. Know who I am?
2016-05-22,Season 6,Episode 5,The Door,theon greyjoy,We will find no better leader. This is our queen.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,theon greyjoy,"No, you can't! You can't!"
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",theon greyjoy,I took it to-I took it-
2016-05-01,Season 6,Episode 2,Home,theon greyjoy,I would have taken you all the way to the Wall I would have died to get you there
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,Pears and oranges. Wine from the Arbor. And the heir to Pyke of the Iron Islands. . The only living son of Balon Greyjoy. . Me.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,"I treated the Stark boys with honor, and they repaid me with treachery."
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,theon greyjoy,I did.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",theon greyjoy,No one. I took it on my own.
2016-06-05,Season 6,Episode 7,The Broken Man,theon greyjoy,You think Uncle Euron's hunting for us?
2011-06-12,Season 1,Episode 9,Baelor,theon greyjoy,Or throw you in a dungeon. Or slit your throat.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,theon greyjoy,No!
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",theon greyjoy,Please. He'll punish me.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,My men are bringing your people together in the courtyard.
2019-04-21,Season 8,Episode 2,A Knight of the Seven Kingdoms,theon greyjoy,"I want to fight for Winterfell, Lady Sansa, if you'll have me."
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",theon greyjoy,"Lord Ramsay, he said I'm to take your arm."
2015-04-24,Season 6,Episode 1,The Red Woman,theon greyjoy,Stay here. I'll lure them away
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,Envy isn't attractive.
