Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"But we have a Kingdom to look after. I've hoped to meet you for some time, Lord Stark. No doubt Lady Catelyn has mentioned me."
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,All too well. I still carry a token of his esteem from navel to collarbone.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"It wasn't the man that I chose, my Lord. It was Catelyn Tully. A woman worth fighting for, I'm sure you'll agree."
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,We are the lords of small matters here.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"Mmm, how much?"
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"I'll have to borrow it. The Lannisters will accommodate, I expect. We already owe Lord Tywin 3 million gold. What's another 80,000?"
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,I'm telling you the Crown is six million in debt.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,The Master of Coin finds the money. The King and the Hand spend it.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"As you will. But still, we'd best make our plans."
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Cat! Go on. Go upstairs.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,I meant no disrespect to you of all people.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,No one will come looking for you here. Isn't that what like you wanted? I'm truly sorry... about the locale.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,A dear friend told me.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"Well well, this is an historic day. Something you don't know that I do. There's only one dagger like this in all of the Seven Kingdoms. It's mine."
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"At least it was, until the tournament on Prince Joffrey's last nameday. I bet on Ser Jaime in the jousting, as any sane man would. When the Knight of the Flowers unseated him, I lost this dagger."
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Tyrion Lannister. The Imp.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Good news? Perhaps you'd like to share it with your wife?
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Is she?
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,I thought that she'd be safest in here. One of several such establishments I own.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"The Starks... Quick tempers, slow minds."
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,The mere suggestion that the Queen's brother tried to kill your boy would be considered treason.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"Which Lord Tyrion will say was stolen from him. The only man who could say otherwise has no throat, thanks to your boy's wolf."
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"I'll try to keep you alive, for her sake. A fool's task, admittedly, but I've never been able to refuse your wife anything."
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Don't tell anyone. I have a reputation to maintain.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,I will?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,And every inn in the city is full and the whores are walking bow-legged.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,I hear you're reading a boring book.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"He never stops. Do you know Ser Hugh of the Vale? Not surprising. Until recently, he was only a squire... Jon Arryn's squire. He was knighted almost immediately after his master's untimely death."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,I promised Cat that I'd help you.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,A singularly bad idea. Do you see that boy there? One of Varys's little birds. The Spider has taken a great interest in your comings and goings. Now look there. That one belongs to the Queen. And do you see that Septa pretending to read her book?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,No. She's one of mine. Is there someone in your service whom you trust completely?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"The wiser answer was no, my Lord. Get a message to this paragon of yours... Discreetly. Send him to question Ser Hugh. After that, you might want him to visit a certain armorer in the city. He lives in a large house at the top of the street of Steel."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"I have my observers, as I said, and it's possible that they saw Lord Arryn visit this armorer several times in the weeks before his death."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,Distrusting me was the wisest thing you've done since you climbed off your horse.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,Lover's quarrel?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,An old friend of the family. I've known your mother a long long time.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"No, it's quite all right. When I was a child I was very small and I come from a little spit of land called The Fingers, so you see, it's an exceedingly clever nickname."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,Ser Gregor Clegane. They call him the Mountain. The Houndo s older brother.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,Ser Hugh of the Vale. He was Jon Arryn's squire. Look how far he's come.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"Not what you were expecting? Has anyone ever told you the story of the Mountain and the Hound? Lovely little tale of brotherly love. The Hound was just a pup, six years old maybe. Gregor a few years older, already a big lad, already getting a bit of a reputation. Some lucky boys just born with a talent for violence. One evening... Gregor found his little brother playing with a toy by the fire... Gregor's toy, a wooden knight. Gregor never said a word, he just grabbed his brother by the scruff of his neck and shoved his face into the burning coals. Held him there while the boy screamed, while his face melted. There aren't very many people who know that story."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"No, please don't. If the Hound so much as heard you mention it, I'm afraid all the knights in King's Landing would not be able to save you."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,100 gold dragons on the Mountain.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,Now what will I buy with 100 gold dragons? A dozen barrels of Dornish wine? Or a girl from the pleasure houses of Lys?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"And tell me, Lord Renly, when will you be having your friend?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Loras knew his mare was in heat. Quite crafty, really."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,No honor but quite a bit of gold.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,You do move quietly.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,You look a bit lonely today. You should pay a visit to my brothel this evening. First boy is on the house.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Am I? All those birds that whisper in your ear, such pretty little things. Trust me, we accommodate all inclinations."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"I'm a purveyor of beauty and discretion, both equally important."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,All desires are valid to a man with a full purse.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Strictly speaking, such a thing would not be in accordance with the King's laws."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Tell me. Does someone, somewhere, keep your balls in a little box? I've often wondered."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,Since you last saw me or since I last saw you?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,Saw me with your own eyes?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,Council business. We all have so much to discuss with Ned Stark.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,One shudders at the thought.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,But you know something? I do believe that I have seen you even more recently than you have seen me.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Yes. Earlier today, I distinctly recall seeing you talking to Lord Stark in his chambers."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"And not long after that when I saw you escorting a certain foreign dignitary... Council business? Of course you would have friends from across The Narrow Sea. You're from there yourself, after all. We're friends, aren't we, Lord Varys? I'd like to think we are. So you can imagine my burden, wondering if the King might question my friendo s sympathies… To stand at a crossroads where turning left means loyalty to a friend, turning right, loyalty to the realm."
