Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"Samwell Tarly, of Horn Hill. I mean, I was of Horn Hill. I've come to take the black."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"I yield. Please, no more."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Did he hurt you?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,You can call me Sam... If you want. My mother calls me Sam.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I wanted to. I just couldn't.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I'm a coward. My father always says so.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,You're right. I'm sorry. I just... Wanted to thank you.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"Hello. Ser Alliser said I'm to be your new watch partner. I should warn you, I don't see all that well."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"No, that's all right. I'm fine."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I don't like high places.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"On the morning of my 18th nameday, my father came to me. ""You're almost a man now,"" he said, ""but you're not worthy of my land and title. Tomorrow, you're going to take the black, forsake all claim to your inheritance and start north. If you do not,"" he said, ""then we'll have a hunt and somewhere in these woods your horse will stumble and you'll be thrown from your saddle to die. Or so I'll tell your mother. Nothing would please me more."" Ser Alliser's going to make me fight again tomorrow, isn't he?"
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"I'm not going to get any better, you know?"
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I know for a fact that some of the officers go to that brothel in Mole's Town.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Don't you think it's a little bit unfair? Making us take our vows while they sneak off for a little sally on the side?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"It's silly, isn't it? What, we can't defend the Wall unless we're celibate? It's absurd."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Why not? Because I'm fat? But I like girls just as much as you do. They might not like me as much. I've never... been with one. You've probably had hundreds.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I find that hard to believe.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,You didn't know where to put it?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Was she... Old and ugly?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,What color hair?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I like red hair. And her... Her...
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,That good?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Oh no. So why exactly did you not make love to Ros with the perfect...
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Jon Snow?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Because... You're a bastard from the north.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,So... You didn't know where to put it?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,It is a bit nippy.
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,I miss girls.
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,"One blast for a Ranger returning, two for Wildlings, three for..."
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,"my lord, might I go as well?"
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,"No, my lord."
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,The Night's Watch is my house now.
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,"Jon, wait! Don't you see what they're doing?"
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,I thought you were caught stealing a wheel of cheese for your starving sister?
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,"Could you sing me a song, Pyp? I'd like to hear a song."
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,Now listen to me. The old man is the Lord Commander of The Night's Watch.
2011-05-29,Season 1,Episode 7,You Win or You Die,sam tarly,I always wanted to be a Wizard.
2011-06-05,Season 1,Episode 8,The Pointy End,sam tarly,The smell.
2011-06-05,Season 1,Episode 8,The Pointy End,sam tarly,There is none.
2011-06-12,Season 1,Episode 9,Baelor,sam tarly,l - l can't.
2011-06-12,Season 1,Episode 9,Baelor,sam tarly,l'm really not supposed to say.
2011-06-12,Season 1,Episode 9,Baelor,sam tarly,There was a raven. l read the message to Maester Aemon. lt's your brother Robb.
2011-06-12,Season 1,Episode 9,Baelor,sam tarly,"He's heading south. To war. All his bannermen have rallied to his side, they'll keep him safe."
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,You can't!
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,They'll put out the word. They'll send out ravens. People will come after you. Do you know what happens to deserters?
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,What are you going to do?
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,You can't leave us now. We need you here.
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,l won't let you go.
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,No.
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,Did we get him?
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,But we're your brothers now.
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,Hear my words and bear witness to my vow
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,Nothing's killed me yet.
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,You offered me a ride!
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,Are those girls?
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,I haven't seen a girl in six months.
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,That's foul.
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,Hmm?
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"Seems a bit greedy for one man to have so many wives. Wouldn't two, or three, be enough for him?"
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,Nothing like the sight of a woman walking away.
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,I'm sure that's nice too.
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,You were with her? How many times?
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,Wish I'd grew up on a farm.
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"No. Ghost, no. No. Ghost, away. Shoo. Shoo! . You all right? Did he frighten you?"
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"Oh, oh. Right. I'm sorry. I just wanted to make sure you weren't hurt. ."
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"This is Gilly, she's one of Craster's daughters."
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"She's pregnant. . We have to take her with us, when we leave."
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,I know it sounds a bit mad.
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"The Lord Commander, , we are sworn to protect -"
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,Why did you do that?
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,You were cruel.
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,I didn't touch her!
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"I can't steal her, she's a person not a goat."
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,I could try. . What? I've read about it. A bit.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,Lord Commander-
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,Gilly.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,"I, I wanted to give you something. It belonged to my mother."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,Please. I want you to. My mother used it for sewing. She'd let me sit with her in her chamber while she sewed and I'd read to her. My father put a stop to it when he found out. It's the only thing I have of hers. She gave it to me before I left for the Wall.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,I'm not giving it away. I'm giving it to you.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,Keep it safe for me. Til I come back.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,sam tarly,"Beautiful, isn't it? Gilly would love it here."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,sam tarly,"The Fist of the First Men. Think of how old this place is. Before the Targaryens defeated the Andals, before the Andals took Westeros from the First Men."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,sam tarly,"Thousands and thousands of years ago, the First Men stood here where we're standing all through the long night. What do you think they were like, the First Men?"
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,sam tarly,"And three for White Walkers. It's been a thousand years, but that's the only time they blow the horn three times."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,sam tarly,Well I read it in a book.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,sam tarly,I don't see very well.
