Release Date,Season,Episode,Episode Title,Name,Sentence
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Mountain lion?
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,It's a freak.
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Right. Give it here.
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"I take orders from your father, not you."
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"The runt of the litter. That one's yours, Snow."
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"It's for the queen, I bet. I hear she's [sleek as a mink?]"
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Think of all those southern girls he gets to stab with his right royal prick.
2011-04-24,Season 1,Episode 2,The Kingsroad,theon greyjoy,"Saw what, my lady?"
2011-04-24,Season 1,Episode 2,The Kingsroad,theon greyjoy,"If it comes to that, you know I'll stand behind you."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,We have visitors.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,"Really? If I was cooped up all day with no one but this old bat for company, I'd go mad. Anyway, you don't have a choice. Robb's waiting."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,"Neither do I. But Robb's Lord of Winterfell, which means I do what he says and you do what I say. Hodor! Help Bran down the hall."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,"Couldn't resist some northern ass? If you like redheads, ask for Ros."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,He's not my master.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,She wasn't feeling well.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,My lady's whereabouts...
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,Must have been a pretty sight.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,We were outnumbered 10 to one.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,"Careful, Imp."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,"Famed for their skills at archery, navigation and lovemaking."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,Shh... Keep it down. You're not supposed to be inside the castle walls.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,Important enough for the likes of you.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,Who? the Imp? I'd call him half a nobleman.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,Why should I be jealous?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,Anyone with a few coppers in his pocket can own you for the night. What's a dwarf like down below? I've always wondered.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,Hmm?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,Generous tipper. I guess gold is cheap for a Lannister.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,"I'm a Greyjoy. We've been Lords of the Iron Islands for 300 years. There's not a family in Westeros that can look down on us, not even the Lannisters."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,I've been Lord Stark's ward since I was eight years old.
